MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     6.897432E+00     3.417038E+00     1.236340E-02     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     6.492852E+00     3.417038E+00     2.261633E-01     2.803049E+00     1.533223E-02     1.000000E+00 
    2     4     2     6.261132E+00     3.096187E+00     3.164366E-01     4.112221E+00     1.676608E-01     1.000000E+00 
    3    15     3     6.245358E+00     3.096184E+00     3.306319E-01     4.087425E+00     1.583985E-01     1.000000E+00 
    4    26     4     6.238126E+00     3.096180E+00     3.404060E-01     4.098368E+00     1.526869E-01     1.000000E+00 
    5    37     5     6.234050E+00     3.096172E+00     3.523264E-01     4.113547E+00     1.499888E-01     1.000000E+00 
    6    48     6     6.231561E+00     3.096161E+00     3.633560E-01     4.124910E+00     1.487270E-01     1.000000E+00 
    7    59     7     6.229952E+00     3.096147E+00     3.748253E-01     4.135039E+00     1.482581E-01     1.000000E+00 
    8    70     8     6.228866E+00     3.096130E+00     3.858288E-01     4.149284E+00     1.480368E-01     1.000000E+00 
    9    81     9     6.228096E+00     3.096110E+00     3.962727E-01     4.156951E+00     1.480163E-01     1.000000E+00 
   10    92    10     6.227544E+00     3.096089E+00     4.061855E-01     4.168996E+00     1.480136E-01     1.000000E+00 
   11   103    11     6.227129E+00     3.096066E+00     4.153291E-01     4.174818E+00     1.480814E-01     1.000000E+00 
   12   114    12     6.226821E+00     3.096041E+00     4.239489E-01     4.184623E+00     1.481293E-01     1.000000E+00 
   13   125    13     6.226581E+00     3.096014E+00     4.318122E-01     4.189307E+00     1.482103E-01     1.000000E+00 
   14   136    14     6.226399E+00     3.095986E+00     4.392042E-01     4.197416E+00     1.482695E-01     1.000000E+00 
   15   147    15     6.226254E+00     3.095956E+00     4.459115E-01     4.202612E+00     1.483559E-01     1.000000E+00 
   16   158    16     6.226143E+00     3.095925E+00     4.522110E-01     4.210318E+00     1.484222E-01     1.000000E+00 
   17   169    17     6.226053E+00     3.095892E+00     4.579101E-01     4.214739E+00     1.485100E-01     1.000000E+00 
   18   180    18     6.225985E+00     3.095859E+00     4.632622E-01     4.222119E+00     1.485815E-01     1.000000E+00 
   19   191    19     6.225929E+00     3.095824E+00     4.680956E-01     4.226648E+00     1.486713E-01     1.000000E+00 
   20   202    20     6.225886E+00     3.095788E+00     4.726357E-01     4.233795E+00     1.487477E-01     1.000000E+00 
   21   213    21     6.225851E+00     3.095751E+00     4.767313E-01     4.238931E+00     1.488398E-01     1.000000E+00 
   22   224    22     6.225825E+00     3.095714E+00     4.805799E-01     4.246325E+00     1.489208E-01     1.000000E+00 
   23   235    23     6.225805E+00     3.095675E+00     4.840492E-01     4.251042E+00     1.490154E-01     1.000000E+00 
   24   246    24     6.225790E+00     3.095636E+00     4.873107E-01     4.257585E+00     1.491005E-01     1.000000E+00 
   25   257    25     6.225778E+00     3.095596E+00     4.902495E-01     4.261857E+00     1.491975E-01     1.000000E+00 
   26   268    26     6.225770E+00     3.095555E+00     4.930135E-01     4.268075E+00     1.492861E-01     1.000000E+00 
   27   279    27     6.225764E+00     3.095514E+00     4.955034E-01     4.272096E+00     1.493851E-01     1.000000E+00 
   28   290    28     6.225761E+00     3.095472E+00     4.978463E-01     4.277674E+00     1.494766E-01     1.000000E+00 
   29   301    29     6.225759E+00     3.095430E+00     4.999563E-01     4.281295E+00     1.495773E-01     1.000000E+00 
   30   312    30     6.225758E+00     3.095388E+00     5.019429E-01     4.286401E+00     1.496710E-01     1.000000E+00 
   31   323    31     6.225759E+00     3.095345E+00     5.037316E-01     4.289852E+00     1.497729E-01     1.000000E+00 
   32   334    32     6.225760E+00     3.095302E+00     5.054166E-01     4.294498E+00     1.498684E-01     1.000000E+00 
   33   345    33     6.225762E+00     3.095259E+00     5.069336E-01     4.297734E+00     1.499713E-01     1.000000E+00 
   34   356    34     6.225765E+00     3.095215E+00     5.083634E-01     4.302296E+00     1.500683E-01     1.000000E+00 
   35   367    35     6.225768E+00     3.095172E+00     5.096504E-01     4.305366E+00     1.501716E-01     1.000000E+00 
   36   378    36     6.225771E+00     3.095128E+00     5.108641E-01     4.309666E+00     1.502696E-01     1.000000E+00 
   37   389    37     6.225774E+00     3.095084E+00     5.119563E-01     4.312649E+00     1.503731E-01     1.000000E+00 
   38   400    38     6.225778E+00     3.095041E+00     5.129870E-01     4.316718E+00     1.504718E-01     1.000000E+00 
   39   411    39     6.225781E+00     3.094997E+00     5.139144E-01     4.319475E+00     1.505752E-01     1.000000E+00 
   40   422    40     6.225785E+00     3.094953E+00     5.147899E-01     4.323239E+00     1.506742E-01     1.000000E+00 
   41   433    41     6.225788E+00     3.094910E+00     5.155776E-01     4.325803E+00     1.507775E-01     1.000000E+00 
   42   444    42     6.225791E+00     3.094866E+00     5.163217E-01     4.329301E+00     1.508764E-01     1.000000E+00 
   43   455    43     6.225795E+00     3.094823E+00     5.169909E-01     4.331699E+00     1.509793E-01     1.000000E+00 
   44   466    44     6.225798E+00     3.094779E+00     5.176235E-01     4.334963E+00     1.510780E-01     1.000000E+00 
   45   477    45     6.225801E+00     3.094736E+00     5.181922E-01     4.337242E+00     1.511804E-01     1.000000E+00 
   46   488    46     6.225804E+00     3.094693E+00     5.187302E-01     4.340316E+00     1.512788E-01     1.000000E+00 
   47   499    47     6.225807E+00     3.094650E+00     5.192137E-01     4.342493E+00     1.513805E-01     1.000000E+00 
   48   510    48     6.225810E+00     3.094608E+00     5.196714E-01     4.345382E+00     1.514784E-01     1.000000E+00 
   49   521    49     6.225812E+00     3.094565E+00     5.200826E-01     4.347446E+00     1.515794E-01     1.000000E+00 
   50   532    50     6.225815E+00     3.094523E+00     5.204720E-01     4.350171E+00     1.516768E-01     1.000000E+00 
   51   543    51     6.225817E+00     3.094481E+00     5.208218E-01     4.352138E+00     1.517769E-01     1.000000E+00 
   52   554    52     6.225820E+00     3.094439E+00     5.211533E-01     4.354718E+00     1.518736E-01     1.000000E+00 
   53   565    53     6.225822E+00     3.094397E+00     5.214509E-01     4.356599E+00     1.519727E-01     1.000000E+00 
   54   576    54     6.225824E+00     3.094356E+00     5.217332E-01     4.359050E+00     1.520688E-01     1.000000E+00 
   55   587    55     6.225826E+00     3.094315E+00     5.219865E-01     4.360858E+00     1.521670E-01     1.000000E+00 
   56   598    56     6.225827E+00     3.094274E+00     5.222269E-01     4.363194E+00     1.522623E-01     1.000000E+00 
   57   609    57     6.225829E+00     3.094233E+00     5.224425E-01     4.364937E+00     1.523594E-01     1.000000E+00 
   58   620    58     6.225831E+00     3.094193E+00     5.226473E-01     4.367192E+00     1.524539E-01     1.000000E+00 
   59   631    59     6.225832E+00     3.094153E+00     5.228310E-01     4.368875E+00     1.525501E-01     1.000000E+00 
   60   642    60     6.225834E+00     3.094113E+00     5.230055E-01     4.371043E+00     1.526437E-01     1.000000E+00 
   61   653    61     6.225835E+00     3.094073E+00     5.231619E-01     4.372674E+00     1.527388E-01     1.000000E+00 
   62   664    62     6.225837E+00     3.094033E+00     5.233107E-01     4.374755E+00     1.528316E-01     1.000000E+00 
   63   675    63     6.225838E+00     3.093994E+00     5.234440E-01     4.376339E+00     1.529257E-01     1.000000E+00 
   64   686    64     6.225839E+00     3.093955E+00     5.235709E-01     4.378341E+00     1.530176E-01     1.000000E+00 
   65   697    65     6.225840E+00     3.093916E+00     5.236845E-01     4.379964E+00     1.531106E-01     1.000000E+00 
   66   708    66     6.225841E+00     3.093878E+00     5.237927E-01     4.381967E+00     1.532016E-01     1.000000E+00 
   67   719    67     6.225842E+00     3.093840E+00     5.238897E-01     4.383687E+00     1.532936E-01     1.000000E+00 
   68   730    68     6.225843E+00     3.093802E+00     5.239820E-01     4.385628E+00     1.533837E-01     1.000000E+00 
   69   741    69     6.225844E+00     3.093764E+00     5.240647E-01     4.387306E+00     1.534746E-01     1.000000E+00 
   70   752    70     6.225845E+00     3.093726E+00     5.241436E-01     4.389191E+00     1.535639E-01     1.000000E+00 
   71   763    71     6.225846E+00     3.093689E+00     5.242142E-01     4.390832E+00     1.536538E-01     1.000000E+00 
   72   774    72     6.225847E+00     3.093652E+00     5.242816E-01     4.392666E+00     1.537421E-01     1.000000E+00 
   73   785    73     6.225848E+00     3.093615E+00     5.243419E-01     4.394273E+00     1.538310E-01     1.000000E+00 
   74   796    74     6.225849E+00     3.093579E+00     5.243995E-01     4.396059E+00     1.539184E-01     1.000000E+00 
   75   807    75     6.225849E+00     3.093542E+00     5.244511E-01     4.397636E+00     1.540064E-01     1.000000E+00 
   76   818    76     6.225850E+00     3.093506E+00     5.245005E-01     4.399379E+00     1.540929E-01     1.000000E+00 
   77   829    77     6.225851E+00     3.093470E+00     5.245447E-01     4.400927E+00     1.541798E-01     1.000000E+00 
   78   840    78     6.225852E+00     3.093435E+00     5.245870E-01     4.402631E+00     1.542655E-01     1.000000E+00 
   79   851    79     6.225852E+00     3.093399E+00     5.246249E-01     4.404153E+00     1.543515E-01     1.000000E+00 
   80   862    80     6.225853E+00     3.093364E+00     5.246612E-01     4.405820E+00     1.544363E-01     1.000000E+00 
   81   873    81     6.225854E+00     3.093329E+00     5.246937E-01     4.407317E+00     1.545213E-01     1.000000E+00 
   82   884    82     6.225855E+00     3.093294E+00     5.247249E-01     4.408950E+00     1.546052E-01     1.000000E+00 
   83   895    83     6.225855E+00     3.093260E+00     5.247530E-01     4.410425E+00     1.546894E-01     1.000000E+00 
   84   906    84     6.225856E+00     3.093225E+00     5.247799E-01     4.412026E+00     1.547724E-01     1.000000E+00 
   85   917    85     6.225857E+00     3.093191E+00     5.248041E-01     4.413483E+00     1.548557E-01     1.000000E+00 
