MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     1.189765E+01     5.260125E+00     1.341154E-02     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     8.379062E+00     5.260125E+00     3.693314E-01     2.789995E+00     1.487824E-02     1.000000E+00 
    2     3     2     7.113866E+00     4.021925E+00     5.378329E-01     5.348492E+00     4.737211E-01     1.000000E+00 
    3     4     3     7.063093E+00     3.542259E+00     9.591267E-01     9.147117E+00     8.901751E-01     1.000000E+00 
    4    15     4     6.939133E+00     3.542253E+00     1.013120E+00     9.486597E+00     8.663207E-01     1.000000E+00 
    5    26     5     6.905947E+00     3.542159E+00     1.007658E+00     9.330701E+00     8.465815E-01     1.000000E+00 
    6    30     6     6.947630E+00     3.527610E+00     1.099730E+00     1.027927E+01     9.189647E-01     1.000000E+00 
    7    41     7     6.943688E+00     3.527507E+00     1.109796E+00     1.038559E+01     9.129683E-01     1.000000E+00 
    8    52     8     6.941558E+00     3.527388E+00     1.115321E+00     1.043064E+01     9.068961E-01     1.000000E+00 
    9    63     9     6.940485E+00     3.527253E+00     1.122727E+00     1.049226E+01     9.045855E-01     1.000000E+00 
   10    74    10     6.940008E+00     3.527111E+00     1.128524E+00     1.053994E+01     9.038294E-01     1.000000E+00 
   11    85    11     6.939945E+00     3.526964E+00     1.134653E+00     1.059342E+01     9.039053E-01     1.000000E+00 
   12    96    12     6.940137E+00     3.526816E+00     1.139895E+00     1.063615E+01     9.042786E-01     1.000000E+00 
   13   107    13     6.940504E+00     3.526667E+00     1.145031E+00     1.067921E+01     9.047890E-01     1.000000E+00 
   14   118    14     6.940982E+00     3.526519E+00     1.149576E+00     1.071531E+01     9.054005E-01     1.000000E+00 
   15   129    15     6.941532E+00     3.526372E+00     1.153888E+00     1.074981E+01     9.060156E-01     1.000000E+00 
   16   140    16     6.942127E+00     3.526226E+00     1.157766E+00     1.078115E+01     9.066700E-01     1.000000E+00 
   17   151    17     6.942745E+00     3.526084E+00     1.161392E+00     1.081111E+01     9.073029E-01     1.000000E+00 
   18   162    18     6.943376E+00     3.525943E+00     1.164682E+00     1.083734E+01     9.079483E-01     1.000000E+00 
   19   173    19     6.944009E+00     3.525805E+00     1.167738E+00     1.086186E+01     9.085710E-01     1.000000E+00 
   20   184    20     6.944639E+00     3.525669E+00     1.170527E+00     1.088378E+01     9.091940E-01     1.000000E+00 
   21   195    21     6.945263E+00     3.525535E+00     1.173110E+00     1.090425E+01     9.097979E-01     1.000000E+00 
   22   206    22     6.945877E+00     3.525405E+00     1.175479E+00     1.092284E+01     9.103967E-01     1.000000E+00 
   23   217    23     6.946479E+00     3.525276E+00     1.177671E+00     1.094057E+01     9.109806E-01     1.000000E+00 
   24   228    24     6.947068E+00     3.525150E+00     1.179676E+00     1.095689E+01     9.115852E-01     1.000000E+00 
   25   239    25     6.947644E+00     3.525025E+00     1.181528E+00     1.097199E+01     9.121772E-01     1.000000E+00 
   26   250    26     6.948210E+00     3.524903E+00     1.183241E+00     1.098605E+01     9.127447E-01     1.000000E+00 
   27   261    27     6.948764E+00     3.524783E+00     1.184832E+00     1.099931E+01     9.132994E-01     1.000000E+00 
   28   272    28     6.949307E+00     3.524665E+00     1.186308E+00     1.101165E+01     9.138456E-01     1.000000E+00 
   29   283    29     6.949840E+00     3.524548E+00     1.187682E+00     1.102326E+01     9.143821E-01     1.000000E+00 
   30   294    30     6.950363E+00     3.524433E+00     1.188960E+00     1.103416E+01     9.149105E-01     1.000000E+00 
   31   305    31     6.950876E+00     3.524321E+00     1.190154E+00     1.104457E+01     9.154303E-01     1.000000E+00 
   32   316    32     6.951381E+00     3.524210E+00     1.191271E+00     1.105454E+01     9.159426E-01     1.000000E+00 
   33   327    33     6.951876E+00     3.524100E+00     1.192318E+00     1.106407E+01     9.164472E-01     1.000000E+00 
   34   338    34     6.952364E+00     3.523993E+00     1.193302E+00     1.107319E+01     9.169448E-01     1.000000E+00 
   35   349    35     6.952843E+00     3.523886E+00     1.194228E+00     1.108195E+01     9.174354E-01     1.000000E+00 
   36   360    36     6.953316E+00     3.523782E+00     1.195102E+00     1.109037E+01     9.179196E-01     1.000000E+00 
   37   371    37     6.953781E+00     3.523679E+00     1.195928E+00     1.109854E+01     9.183972E-01     1.000000E+00 
   38   382    38     6.954239E+00     3.523577E+00     1.196711E+00     1.110642E+01     9.188687E-01     1.000000E+00 
   39   393    39     6.954690E+00     3.523477E+00     1.197456E+00     1.111405E+01     9.193342E-01     1.000000E+00 
   40   404    40     6.955136E+00     3.523379E+00     1.198164E+00     1.112144E+01     9.197938E-01     1.000000E+00 
   41   415    41     6.955575E+00     3.523282E+00     1.198840E+00     1.112861E+01     9.202475E-01     1.000000E+00 
   42   426    42     6.956008E+00     3.523186E+00     1.199486E+00     1.113558E+01     9.206956E-01     1.000000E+00 
   43   437    43     6.956435E+00     3.523092E+00     1.200104E+00     1.114236E+01     9.211384E-01     1.000000E+00 
   44   448    44     6.956857E+00     3.522999E+00     1.200698E+00     1.114897E+01     9.215760E-01     1.000000E+00 
   45   459    45     6.957273E+00     3.522907E+00     1.201270E+00     1.115542E+01     9.220085E-01     1.000000E+00 
   46   470    46     6.957685E+00     3.522817E+00     1.201821E+00     1.116172E+01     9.224363E-01     1.000000E+00 
   47   481    47     6.958092E+00     3.522728E+00     1.202353E+00     1.116788E+01     9.228593E-01     1.000000E+00 
   48   492    48     6.958494E+00     3.522640E+00     1.202867E+00     1.117392E+01     9.232776E-01     1.000000E+00 
   49   503    49     6.958891E+00     3.522553E+00     1.203366E+00     1.117983E+01     9.236911E-01     1.000000E+00 
   50   514    50     6.959284E+00     3.522468E+00     1.203851E+00     1.118563E+01     9.241001E-01     1.000000E+00 
   51   525    51     6.959673E+00     3.522383E+00     1.204321E+00     1.119136E+01     9.245046E-01     1.000000E+00 
   52   536    52     6.960057E+00     3.522300E+00     1.204780E+00     1.119701E+01     9.249044E-01     1.000000E+00 
   53   547    53     6.960437E+00     3.522218E+00     1.205226E+00     1.120255E+01     9.252996E-01     1.000000E+00 
   54   558    54     6.960812E+00     3.522137E+00     1.205661E+00     1.120800E+01     9.256901E-01     1.000000E+00 
   55   569    55     6.961183E+00     3.522058E+00     1.206086E+00     1.121338E+01     9.260758E-01     1.000000E+00 
   56   580    56     6.961549E+00     3.521979E+00     1.206500E+00     1.121867E+01     9.264567E-01     1.000000E+00 
   57   591    57     6.961911E+00     3.521902E+00     1.206906E+00     1.122387E+01     9.268330E-01     1.000000E+00 
   58   602    58     6.962269E+00     3.521825E+00     1.207303E+00     1.122899E+01     9.272049E-01     1.000000E+00 
   59   613    59     6.962623E+00     3.521750E+00     1.207692E+00     1.123403E+01     9.275724E-01     1.000000E+00 
   60   624    60     6.962973E+00     3.521676E+00     1.208073E+00     1.123900E+01     9.279356E-01     1.000000E+00 
   61   635    61     6.963318E+00     3.521603E+00     1.208447E+00     1.124389E+01     9.282944E-01     1.000000E+00 
   62   646    62     6.963659E+00     3.521531E+00     1.208813E+00     1.124871E+01     9.286485E-01     1.000000E+00 
   63   657    63     6.963996E+00     3.521460E+00     1.209173E+00     1.125345E+01     9.289979E-01     1.000000E+00 
   64   668    64     6.964329E+00     3.521390E+00     1.209526E+00     1.125812E+01     9.293429E-01     1.000000E+00 
   65   679    65     6.964657E+00     3.521321E+00     1.209872E+00     1.126271E+01     9.296827E-01     1.000000E+00 
   66   690    66     6.964980E+00     3.521254E+00     1.210211E+00     1.126722E+01     9.300170E-01     1.000000E+00 
   67   701    67     6.965296E+00     3.521188E+00     1.210540E+00     1.127169E+01     9.303437E-01     1.000000E+00 
   68   712    68     6.965605E+00     3.521124E+00     1.210860E+00     1.127614E+01     9.306696E-01     1.000000E+00 
   69   723    69     6.965910E+00     3.521061E+00     1.211175E+00     1.128052E+01     9.309938E-01     1.000000E+00 
   70   734    70     6.966212E+00     3.520998E+00     1.211485E+00     1.128485E+01     9.313150E-01     1.000000E+00 
   71   745    71     6.966511E+00     3.520937E+00     1.211793E+00     1.128913E+01     9.316330E-01     1.000000E+00 
   72   756    72     6.966807E+00     3.520876E+00     1.212096E+00     1.129336E+01     9.319477E-01     1.000000E+00 
   73   767    73     6.967100E+00     3.520816E+00     1.212396E+00     1.129754E+01     9.322592E-01     1.000000E+00 
   74   778    74     6.967390E+00     3.520756E+00     1.212693E+00     1.130167E+01     9.325675E-01     1.000000E+00 
   75   789    75     6.967676E+00     3.520698E+00     1.212985E+00     1.130574E+01     9.328718E-01     1.000000E+00 
   76   800    76     6.967959E+00     3.520640E+00     1.213273E+00     1.130976E+01     9.331721E-01     1.000000E+00 
   77   811    77     6.968239E+00     3.520584E+00     1.213558E+00     1.131373E+01     9.334685E-01     1.000000E+00 
   78   822    78     6.968514E+00     3.520528E+00     1.213838E+00     1.131764E+01     9.337609E-01     1.000000E+00 
   79   833    79     6.968785E+00     3.520473E+00     1.214112E+00     1.132147E+01     9.340478E-01     1.000000E+00 
   80   844    80     6.969051E+00     3.520419E+00     1.214381E+00     1.132523E+01     9.343290E-01     1.000000E+00 
   81   855    81     6.969310E+00     3.520367E+00     1.214641E+00     1.132889E+01     9.346021E-01     1.000000E+00 
   82   866    82     6.969561E+00     3.520317E+00     1.214891E+00     1.133243E+01     9.348763E-01     1.000000E+00 
   83   877    83     6.969808E+00     3.520267E+00     1.215138E+00     1.133591E+01     9.351504E-01     1.000000E+00 
