MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     6.276925E+00     3.176290E+00     1.143338E-02     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     6.226990E+00     3.176290E+00     1.848167E-01     2.985508E+00     1.479751E-02     1.000000E+00 
    2    13     2     6.191760E+00     3.176274E+00     1.887789E-01     3.002056E+00     9.990067E-03     1.000000E+00 
    3    24     3     6.189897E+00     3.176273E+00     1.915586E-01     2.992185E+00     5.439605E-03     1.000000E+00 
    4    35     4     6.189116E+00     3.176273E+00     1.953569E-01     2.997933E+00     3.062734E-03     1.000000E+00 
    5    46     5     6.188578E+00     3.176272E+00     1.983342E-01     2.996858E+00     1.854663E-03     1.000000E+00 
    6    57     6     6.188262E+00     3.176271E+00     2.020490E-01     3.000347E+00     1.260637E-03     1.000000E+00 
    7    68     7     6.188018E+00     3.176270E+00     2.056846E-01     2.999532E+00     9.574270E-04     1.000000E+00 
    8    79     8     6.187867E+00     3.176270E+00     2.097688E-01     3.001361E+00     8.161072E-04     1.000000E+00 
    9    90     9     6.187750E+00     3.176269E+00     2.137843E-01     3.000728E+00     7.388841E-04     1.000000E+00 
   10   101    10     6.187678E+00     3.176268E+00     2.179724E-01     3.001682E+00     7.078780E-04     1.000000E+00 
   11   112    11     6.187621E+00     3.176267E+00     2.220464E-01     3.001054E+00     6.877203E-04     1.000000E+00 
   12   123    12     6.187587E+00     3.176266E+00     2.261303E-01     3.001354E+00     6.846985E-04     1.000000E+00 
   13   134    13     6.187558E+00     3.176264E+00     2.300765E-01     3.000395E+00     6.827119E-04     1.000000E+00 
   14   145    14     6.187544E+00     3.176263E+00     2.339785E-01     3.000703E+00     6.855604E-04     1.000000E+00 
   15   156    15     6.187534E+00     3.176262E+00     2.377337E-01     3.000015E+00     6.851266E-04     1.000000E+00 
   16   167    16     6.187532E+00     3.176261E+00     2.413832E-01     3.000178E+00     6.883815E-04     1.000000E+00 
   17   178    17     6.187532E+00     3.176259E+00     2.448914E-01     2.999642E+00     6.884057E-04     1.000000E+00 
   18   189    18     6.187537E+00     3.176258E+00     2.482627E-01     2.999679E+00     6.914413E-04     1.000000E+00 
   19   200    19     6.187545E+00     3.176256E+00     2.515035E-01     2.999251E+00     6.918613E-04     1.000000E+00 
   20   211    20     6.187554E+00     3.176255E+00     2.545919E-01     2.999190E+00     6.947641E-04     1.000000E+00 
