MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     2.591716E+01     1.099850E+01     1.236340E-02     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     2.738433E+01     1.099850E+01     2.705394E-01     6.590532E+00     3.595662E-02     1.000000E+00 
    2     4     2     2.485747E+01     1.073722E+01     3.647574E-01     8.710971E+00     5.092428E-01     1.000000E+00 
    3    15     3     2.480510E+01     1.073722E+01     3.704385E-01     8.713331E+00     4.949194E-01     1.000000E+00 
    4    26     4     2.480478E+01     1.073722E+01     3.754402E-01     8.722227E+00     4.841794E-01     1.000000E+00 
    5    37     5     2.480784E+01     1.073722E+01     3.804657E-01     8.779968E+00     4.779598E-01     1.000000E+00 
    6    48     6     2.480534E+01     1.073722E+01     3.840770E-01     8.807253E+00     4.747171E-01     1.000000E+00 
    7    59     7     2.480095E+01     1.073722E+01     3.859373E-01     8.794409E+00     4.737787E-01     1.000000E+00 
    8    70     8     2.479930E+01     1.073722E+01     3.882231E-01     8.821173E+00     4.729458E-01     1.000000E+00 
    9    81     9     2.479939E+01     1.073722E+01     3.908162E-01     8.831213E+00     4.724871E-01     1.000000E+00 
   10    92    10     2.479834E+01     1.073722E+01     3.922212E-01     8.828728E+00     4.721701E-01     1.000000E+00 
   11   103    11     2.479601E+01     1.073722E+01     3.942586E-01     8.861458E+00     4.723046E-01     1.000000E+00 
   12   114    12     2.479540E+01     1.073722E+01     3.944714E-01     8.841078E+00     4.720361E-01     1.000000E+00 
   13   125    13     2.479910E+01     1.073722E+01     3.975273E-01     8.893077E+00     4.719769E-01     1.000000E+00 
   14   136    14     2.480473E+01     1.073722E+01     3.996489E-01     8.900763E+00     4.713243E-01     1.000000E+00 
   15   147    15     2.480411E+01     1.073722E+01     4.011952E-01     8.908037E+00     4.714515E-01     1.000000E+00 
   16   158    16     2.479976E+01     1.073722E+01     4.007092E-01     8.892285E+00     4.724222E-01     1.000000E+00 
   17   169    17     2.479940E+01     1.073722E+01     4.011715E-01     8.892891E+00     4.720805E-01     1.000000E+00 
   18   180    18     2.479968E+01     1.073722E+01     4.022366E-01     8.903340E+00     4.720846E-01     1.000000E+00 
   19   191    19     2.479699E+01     1.073722E+01     4.026525E-01     8.915976E+00     4.719943E-01     1.000000E+00 
   20   202    20     2.479332E+01     1.073722E+01     4.014198E-01     8.884372E+00     4.722443E-01     1.000000E+00 
   21   213    21     2.479181E+01     1.073722E+01     4.022667E-01     8.912996E+00     4.723603E-01     1.000000E+00 
   22   224    22     2.479194E+01     1.073722E+01     4.032522E-01     8.910585E+00     4.719128E-01     1.000000E+00 
   23   235    23     2.479440E+01     1.073722E+01     4.056647E-01     8.943703E+00     4.719323E-01     1.000000E+00 
   24   246    24     2.480098E+01     1.073722E+01     4.102697E-01     8.995976E+00     4.715640E-01     1.000000E+00 
