MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     1.662166E+01     5.144656E+00     3.659895E-03     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     1.648465E+01     5.144656E+00     1.289161E-01     5.192285E+00     8.311934E-03     1.000000E+00 
    2     5     2     1.645367E+01     5.128081E+00     1.528601E-01     6.085800E+00     5.977961E-02     1.000000E+00 
    3    16     3     1.645085E+01     5.128080E+00     1.541682E-01     6.071480E+00     5.691873E-02     1.000000E+00 
    4    27     4     1.644983E+01     5.128078E+00     1.553110E-01     6.072609E+00     5.541245E-02     1.000000E+00 
    5    38     5     1.644939E+01     5.128077E+00     1.564622E-01     6.075084E+00     5.465544E-02     1.000000E+00 
    6    49     6     1.644921E+01     5.128075E+00     1.574943E-01     6.078312E+00     5.428552E-02     1.000000E+00 
    7    60     7     1.644917E+01     5.128073E+00     1.584976E-01     6.083957E+00     5.410085E-02     1.000000E+00 
    8    71     8     1.644923E+01     5.128071E+00     1.594643E-01     6.090389E+00     5.401590E-02     1.000000E+00 
    9    82     9     1.644933E+01     5.128069E+00     1.604271E-01     6.098644E+00     5.397926E-02     1.000000E+00 
   10    93    10     1.644948E+01     5.128067E+00     1.613407E-01     6.104160E+00     5.396660E-02     1.000000E+00 
   11   104    11     1.644966E+01     5.128064E+00     1.622420E-01     6.110318E+00     5.396749E-02     1.000000E+00 
   12   115    12     1.644986E+01     5.128062E+00     1.631003E-01     6.115687E+00     5.397516E-02     1.000000E+00 
   13   126    13     1.645008E+01     5.128060E+00     1.639269E-01     6.120591E+00     5.398663E-02     1.000000E+00 
   14   137    14     1.645032E+01     5.128057E+00     1.647433E-01     6.125540E+00     5.400095E-02     1.000000E+00 
   15   148    15     1.645056E+01     5.128055E+00     1.655677E-01     6.131856E+00     5.401618E-02     1.000000E+00 
   16   159    16     1.645082E+01     5.128052E+00     1.663714E-01     6.137434E+00     5.403128E-02     1.000000E+00 
   17   170    17     1.645109E+01     5.128050E+00     1.671467E-01     6.142252E+00     5.404595E-02     1.000000E+00 
   18   181    18     1.645137E+01     5.128047E+00     1.679131E-01     6.147071E+00     5.406065E-02     1.000000E+00 
   19   192    19     1.645166E+01     5.128044E+00     1.686766E-01     6.152321E+00     5.407579E-02     1.000000E+00 
   20   203    20     1.645194E+01     5.128041E+00     1.694208E-01     6.158190E+00     5.409211E-02     1.000000E+00 
   21   214    21     1.645224E+01     5.128038E+00     1.701068E-01     6.162739E+00     5.410993E-02     1.000000E+00 
   22   225    22     1.645253E+01     5.128036E+00     1.707698E-01     6.167203E+00     5.412751E-02     1.000000E+00 
   23   236    23     1.645283E+01     5.128033E+00     1.714226E-01     6.171643E+00     5.414484E-02     1.000000E+00 
   24   247    24     1.645314E+01     5.128030E+00     1.720655E-01     6.176352E+00     5.416248E-02     1.000000E+00 
   25   258    25     1.645345E+01     5.128027E+00     1.727024E-01     6.180858E+00     5.418042E-02     1.000000E+00 
   26   269    26     1.645376E+01     5.128023E+00     1.733348E-01     6.185270E+00     5.419873E-02     1.000000E+00 
   27   280    27     1.645407E+01     5.128020E+00     1.739558E-01     6.189443E+00     5.421909E-02     1.000000E+00 
