MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     3.261236E+01     9.765033E+00     8.593986E-03     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     2.394643E+01     9.765033E+00     3.018619E-01     4.294591E+00     1.556264E-02     1.000000E+00 
    2     3     2     1.627853E+01     8.183840E+00     5.602053E-01     1.043467E+01     7.652882E-01     1.000000E+00 
    3     4     3     1.603440E+01     6.325430E+00     1.045564E+00     1.793213E+01     1.760936E+00     1.000000E+00 
    4    15     4     1.587202E+01     6.325381E+00     1.060590E+00     1.824006E+01     1.695436E+00     1.000000E+00 
    5    26     5     1.581261E+01     6.325334E+00     1.076558E+00     1.842636E+01     1.653686E+00     1.000000E+00 
    6    37     6     1.577157E+01     6.325250E+00     1.088216E+00     1.857034E+01     1.631524E+00     1.000000E+00 
    7    48     7     1.573790E+01     6.325127E+00     1.098001E+00     1.869368E+01     1.620503E+00     1.000000E+00 
    8    59     8     1.570897E+01     6.324962E+00     1.106589E+00     1.882556E+01     1.615600E+00     1.000000E+00 
    9    70     9     1.568394E+01     6.324751E+00     1.114940E+00     1.893906E+01     1.613635E+00     1.000000E+00 
   10    81    10     1.566216E+01     6.324491E+00     1.122628E+00     1.904604E+01     1.613425E+00     1.000000E+00 
   11    92    11     1.564335E+01     6.324180E+00     1.130926E+00     1.915060E+01     1.614114E+00     1.000000E+00 
   12    98    12     1.562910E+01     6.317808E+00     1.158431E+00     1.954621E+01     1.645113E+00     1.000000E+00 
   13   109    13     1.561506E+01     6.317510E+00     1.166216E+00     1.964281E+01     1.645274E+00     1.000000E+00 
   14   116    14     1.560413E+01     6.314147E+00     1.183721E+00     1.990170E+01     1.661168E+00     1.000000E+00 
   15   123    15     1.559507E+01     6.310870E+00     1.201894E+00     2.013914E+01     1.676720E+00     1.000000E+00 
   16   130    16     1.558746E+01     6.307789E+00     1.218631E+00     2.039956E+01     1.691444E+00     1.000000E+00 
   17   138    17     1.558044E+01     6.306137E+00     1.231100E+00     2.054603E+01     1.698889E+00     1.000000E+00 
   18   146    18     1.557438E+01     6.304536E+00     1.242382E+00     2.072447E+01     1.706405E+00     1.000000E+00 
   19   153    19     1.557035E+01     6.301660E+00     1.258997E+00     2.093555E+01     1.720986E+00     1.000000E+00 
   20   163    20     1.556524E+01     6.301214E+00     1.265809E+00     2.105476E+01     1.722525E+00     1.000000E+00 
   21   171    21     1.556187E+01     6.299710E+00     1.277323E+00     2.118472E+01     1.729776E+00     1.000000E+00 
   22   180    22     1.555839E+01     6.298922E+00     1.285588E+00     2.132940E+01     1.733234E+00     1.000000E+00 
   23   189    23     1.555561E+01     6.298117E+00     1.294157E+00     2.142109E+01     1.737109E+00     1.000000E+00 
   24   199    24     1.555281E+01     6.297684E+00     1.301048E+00     2.154588E+01     1.738716E+00     1.000000E+00 
   25   206    25     1.555267E+01     6.295093E+00     1.316300E+00     2.175467E+01     1.752369E+00     1.000000E+00 
   26   217    26     1.555041E+01     6.294874E+00     1.322155E+00     2.186780E+01     1.752708E+00     1.000000E+00 
   27   226    27     1.554922E+01     6.294132E+00     1.329825E+00     2.195891E+01     1.756223E+00     1.000000E+00 
