MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     1.772281E+01     5.677685E+00     5.360789E-03     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     1.610111E+01     5.677685E+00     1.471722E-01     4.629779E+00     1.081031E-02     1.000000E+00 
    2     3     2     1.532670E+01     5.332174E+00     3.026652E-01     8.427717E+00     3.802637E-01     1.000000E+00 
    3     4     3     1.529601E+01     5.049810E+00     5.850476E-01     1.471719E+01     7.310815E-01     1.000000E+00 
    4    15     4     1.527312E+01     5.049808E+00     5.911775E-01     1.479745E+01     7.232944E-01     1.000000E+00 
    5    26     5     1.526276E+01     5.049807E+00     5.977869E-01     1.487204E+01     7.149965E-01     1.000000E+00 
    6    37     6     1.525770E+01     5.049804E+00     6.038079E-01     1.499775E+01     7.101418E-01     1.000000E+00 
    7    48     7     1.525496E+01     5.049801E+00     6.078445E-01     1.506588E+01     7.078848E-01     1.000000E+00 
    8    59     8     1.525327E+01     5.049798E+00     6.113435E-01     1.512784E+01     7.069473E-01     1.000000E+00 
    9    70     9     1.525214E+01     5.049794E+00     6.140991E-01     1.517517E+01     7.066144E-01     1.000000E+00 
   10    81    10     1.525136E+01     5.049791E+00     6.166694E-01     1.521144E+01     7.065708E-01     1.000000E+00 
   11    92    11     1.525081E+01     5.049787E+00     6.188997E-01     1.524898E+01     7.066191E-01     1.000000E+00 
   12   103    12     1.525041E+01     5.049783E+00     6.211864E-01     1.529797E+01     7.067093E-01     1.000000E+00 
   13   114    13     1.525011E+01     5.049779E+00     6.233657E-01     1.534886E+01     7.068106E-01     1.000000E+00 
   14   125    14     1.524989E+01     5.049775E+00     6.256598E-01     1.540902E+01     7.069337E-01     1.000000E+00 
   15   136    15     1.524972E+01     5.049771E+00     6.278649E-01     1.546910E+01     7.070325E-01     1.000000E+00 
   16   147    16     1.524960E+01     5.049767E+00     6.300507E-01     1.553048E+01     7.071376E-01     1.000000E+00 
   17   158    17     1.524953E+01     5.049763E+00     6.321096E-01     1.558598E+01     7.072385E-01     1.000000E+00 
