MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     7.157836E+00     3.617575E+00     1.341154E-02     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     6.794985E+00     3.617575E+00     2.373438E-01     2.891934E+00     1.723082E-02     1.000000E+00 
    2     4     2     6.469557E+00     3.266601E+00     3.221848E-01     4.125394E+00     1.806306E-01     1.000000E+00 
    3    15     3     6.450759E+00     3.266597E+00     3.357133E-01     4.118367E+00     1.702567E-01     1.000000E+00 
    4    26     4     6.443096E+00     3.266594E+00     3.451798E-01     4.129909E+00     1.637816E-01     1.000000E+00 
    5    37     5     6.438875E+00     3.266587E+00     3.577860E-01     4.144968E+00     1.607822E-01     1.000000E+00 
    6    48     6     6.436343E+00     3.266579E+00     3.692586E-01     4.156413E+00     1.592767E-01     1.000000E+00 
    7    59     7     6.434723E+00     3.266568E+00     3.813281E-01     4.162382E+00     1.587914E-01     1.000000E+00 
    8    70     8     6.433630E+00     3.266555E+00     3.923854E-01     4.171533E+00     1.585137E-01     1.000000E+00 
    9    81     9     6.432859E+00     3.266541E+00     4.032081E-01     4.176523E+00     1.585127E-01     1.000000E+00 
   10    92    10     6.432307E+00     3.266525E+00     4.129171E-01     4.185495E+00     1.584892E-01     1.000000E+00 
   11   103    11     6.431885E+00     3.266508E+00     4.220299E-01     4.188963E+00     1.585678E-01     1.000000E+00 
   12   114    12     6.431577E+00     3.266491E+00     4.304767E-01     4.197283E+00     1.585912E-01     1.000000E+00 
   13   125    13     6.431329E+00     3.266472E+00     4.381484E-01     4.200997E+00     1.586875E-01     1.000000E+00 
   14   136    14     6.431148E+00     3.266453E+00     4.453711E-01     4.208459E+00     1.587179E-01     1.000000E+00 
   15   147    15     6.430993E+00     3.266433E+00     4.517705E-01     4.212574E+00     1.588101E-01     1.000000E+00 
   16   158    16     6.430884E+00     3.266412E+00     4.579054E-01     4.218875E+00     1.588440E-01     1.000000E+00 
   17   169    17     6.430784E+00     3.266391E+00     4.632154E-01     4.224481E+00     1.589327E-01     1.000000E+00 
   18   180    18     6.430718E+00     3.266369E+00     4.684151E-01     4.230087E+00     1.589669E-01     1.000000E+00 
   19   191    19     6.430652E+00     3.266347E+00     4.728051E-01     4.234944E+00     1.590539E-01     1.000000E+00 
   20   202    20     6.430612E+00     3.266325E+00     4.772128E-01     4.240509E+00     1.590880E-01     1.000000E+00 
   21   213    21     6.430567E+00     3.266302E+00     4.808312E-01     4.244382E+00     1.591741E-01     1.000000E+00 
   22   224    22     6.430544E+00     3.266279E+00     4.845728E-01     4.250215E+00     1.592083E-01     1.000000E+00 
   23   235    23     6.430512E+00     3.266255E+00     4.875462E-01     4.252774E+00     1.592944E-01     1.000000E+00 
   24   246    24     6.430501E+00     3.266232E+00     4.907297E-01     4.259188E+00     1.593286E-01     1.000000E+00 
   25   257    25     6.430478E+00     3.266208E+00     4.931654E-01     4.261253E+00     1.594157E-01     1.000000E+00 
   26   268    26     6.430474E+00     3.266184E+00     4.958820E-01     4.267084E+00     1.594498E-01     1.000000E+00 
   27   279    27     6.430457E+00     3.266160E+00     4.978696E-01     4.269024E+00     1.595385E-01     1.000000E+00 
