MAJOR NFEV NGEV OBJFUN GNORM CNORM FEAS OPT STEP
0 0 0 2.5496404277641693e-01 8.6934059695698590e-02 1.7498745953237492e-02 1.7498745953237416e-02 0 5.0000000000000000e-01
1 0 0 2.5451986179509262e-01 6.8546529397709305e-02 1.7498745953237270e-02 1.7498745953237194e-02 0 5.0000000000000000e-01
2 0 0 2.5417392511031389e-01 6.4874687066992634e-02 1.7498745953237270e-02 1.7498745953237194e-02 0 5.0000000000000000e-01
3 0 0 2.5417244260855965e-01 6.3255230538675267e-02 1.7498745953237492e-02 1.7498745953237416e-02 0 1.0000000000000000e+00
4 0 0 2.5386325229098217e-01 9.1837724748277463e-02 1.7498745953237270e-02 1.7498745953237194e-02 0 5.0000000000000000e-01
5 0 0 2.5361904301542232e-01 9.0317036075856560e-02 1.7498745953237714e-02 1.7498745953237638e-02 0 5.0000000000000000e-01
6 0 0 2.5338376254035511e-01 9.0353879233978154e-02 1.7498745953237270e-02 1.7498745953237194e-02 0 5.0000000000000000e-01
7 0 0 2.5320723759477964e-01 9.1242960913957394e-02 1.7498745953237048e-02 1.7498745953236972e-02 0 5.0000000000000000e-01
8 0 0 2.5301908868999307e-01 9.2992603645338068e-02 1.7498745953236826e-02 1.7498745953236750e-02 0 5.0000000000000000e-01
9 0 0 2.5289335232360538e-01 9.5217258644947497e-02 1.7498745953237270e-02 1.7498745953237194e-02 0 5.0000000000000000e-01
10 0 0 2.5274435077543900e-01 9.8026015192462040e-02 1.7498745953237714e-02 1.7498745953237638e-02 0 5.0000000000000000e-01
11 0 0 2.5266463090505076e-01 1.0116460808379381e-01 1.7498745953237714e-02 1.7498745953237638e-02 0 5.0000000000000000e-01
12 0 0 2.5255371823763961e-01 1.0477872443850844e-01 1.7498745953237048e-02 1.7498745953236972e-02 0 5.0000000000000000e-01
13 0 0 2.5252075558592457e-01 1.0867754916664100e-01 1.7498745953237714e-02 1.7498745953237638e-02 0 5.0000000000000000e-01
14 0 0 2.5245049247412099e-01 1.1302121357845879e-01 1.7498745953237714e-02 1.7498745953237638e-02 0 5.0000000000000000e-01
15 0 0 2.5106049160071797e-01 1.1765052943056367e-01 1.7498745953236382e-02 1.7498745953236305e-02 0 2.5000000000000000e-01
16 0 0 2.5075130417494740e-01 5.4584727733402755e-02 1.7498745953237270e-02 1.7498745953237194e-02 0 1.0000000000000000e+00
17 0 0 2.5056000605818424e-01 5.4784526652821790e-02 1.7498745953237714e-02 1.7498745953237638e-02 0 1.0000000000000000e+00
18 0 0 2.5042842662464948e-01 6.0698384426859889e-02 1.7498745953237270e-02 1.7498745953237194e-02 0 5.0000000000000000e-01
19 0 0 2.5032499913289241e-01 6.1232395927575164e-02 1.7498745953237714e-02 1.7498745953237638e-02 0 5.0000000000000000e-01
20 0 0 2.5020956111725356e-01 6.1899135709635150e-02 1.7498745953237270e-02 1.7498745953237194e-02 0 5.0000000000000000e-01
21 0 0 2.5012405003589899e-01 6.2633950104904468e-02 1.7498745953237270e-02 1.7498745953237194e-02 0 5.0000000000000000e-01
22 0 0 2.5002483699365186e-01 6.3520948557285420e-02 1.7498745953237492e-02 1.7498745953237416e-02 0 5.0000000000000000e-01
23 0 0 2.4995785372297757e-01 6.4487493741944818e-02 1.7498745953237714e-02 1.7498745953237638e-02 0 5.0000000000000000e-01
24 0 0 2.4987527132609472e-01 6.5629360512826682e-02 1.7498745953237714e-02 1.7498745953237638e-02 0 5.0000000000000000e-01
25 0 0 2.4982774103121438e-01 6.6867178555310436e-02 1.7498745953237270e-02 1.7498745953237194e-02 0 5.0000000000000000e-01
26 0 0 2.4976253044704422e-01 6.8306128455449699e-02 1.7498745953237270e-02 1.7498745953237194e-02 0 5.0000000000000000e-01
27 0 0 2.4973574277209953e-01 6.9861239977667952e-02 1.7498745953237492e-02 1.7498745953237416e-02 0 5.0000000000000000e-01
28 0 0 2.4968903281227472e-01 7.1645432660124256e-02 1.7498745953237936e-02 1.7498745953237860e-02 0 5.0000000000000000e-01
29 0 0 2.4968472322350344e-01 7.3569206388721151e-02 1.7498745953237714e-02 1.7498745953237638e-02 0 5.0000000000000000e-01
30 0 0 2.4965811564725143e-01 7.5751858331299229e-02 1.7498745953238158e-02 1.7498745953238082e-02 0 5.0000000000000000e-01
31 0 0 2.4920653253294747e-01 7.8100432126145217e-02 1.7498745953237714e-02 1.7498745953237638e-02 0 2.5000000000000000e-01
32 0 0 2.4911925672446361e-01 5.0170455795063990e-02 1.7498745953237270e-02 1.7498745953237194e-02 0 1.0000000000000000e+00
33 0 0 2.4908882472449145e-01 4.9943197054776040e-02 1.7498745953237714e-02 1.7498745953237638e-02 0 1.0000000000000000e+00
34 0 0 2.4906292632850502e-01 5.2167056607366237e-02 1.7498745953238158e-02 1.7498745953238082e-02 0 5.0000000000000000e-01
