MAJOR NFEV NGEV OBJFUN GNORM CNORM FEAS OPT STEP
0 0 0 1.1831536372886713e+01 1.2633424051100000e+01 1.9283516290119544e-02 1.9283516290119485e-02 0 5.0000000000000000e-01
1 0 0 8.0284114733828993e+00 8.5164815407060175e+00 1.9283516290119544e-02 1.9283516290119485e-02 0 5.0000000000000000e-01
2 0 0 6.5997799578074883e+00 7.2303980655043514e+00 1.9283516290119544e-02 1.9283516290119485e-02 0 5.0000000000000000e-01
3 0 0 6.0333047306456962e+00 6.6903578897388574e+00 1.9283516290119766e-02 1.9283516290119707e-02 0 5.0000000000000000e-01
4 0 0 5.8975615815103106e+00 6.5016787472328668e+00 1.9283516290118877e-02 1.9283516290118818e-02 0 5.0000000000000000e-01
5 0 0 6.0400695820053751e-01 6.5140223881925534e+00 1.9283516290118877e-02 1.9283516290118818e-02 0 2.5000000000000000e-01
6 0 0 5.6964973887315085e-01 4.5127731456856052e-01 1.9283516290119321e-02 1.9283516290119262e-02 0 1.0000000000000000e+00
7 0 0 5.2217167893861516e-01 8.2605223546663953e-01 1.9283516290119766e-02 1.9283516290119707e-02 0 5.0000000000000000e-01
8 0 0 4.9015358299395839e-01 7.4014225899919217e-01 1.9283516290119988e-02 1.9283516290119929e-02 0 5.0000000000000000e-01
9 0 0 4.6801885837269686e-01 6.9236588192523896e-01 1.9283516290119766e-02 1.9283516290119707e-02 0 5.0000000000000000e-01
10 0 0 4.5261489068930882e-01 6.7100077914161749e-01 1.9283516290119988e-02 1.9283516290119929e-02 0 5.0000000000000000e-01
11 0 0 4.4212132429252982e-01 6.6802804578128638e-01 1.9283516290119544e-02 1.9283516290119485e-02 0 5.0000000000000000e-01
12 0 0 4.3524183757612211e-01 6.7799996899104487e-01 1.9283516290119766e-02 1.9283516290119707e-02 0 5.0000000000000000e-01
13 0 0 4.3132537289607159e-01 6.9709494513893910e-01 1.9283516290119099e-02 1.9283516290119040e-02 0 5.0000000000000000e-01
14 0 0 4.2971513969031871e-01 7.2288024296255160e-01 1.9283516290119766e-02 1.9283516290119707e-02 0 5.0000000000000000e-01
15 0 0 3.5839555152607172e-01 7.5369307448866352e-01 1.9283516290119766e-02 1.9283516290119707e-02 0 2.5000000000000000e-01
16 0 0 3.4772059955511936e-01 1.0687480600912948e-01 1.9283516290119544e-02 1.9283516290119485e-02 0 1.0000000000000000e+00
17 0 0 3.4392883193961921e-01 1.1188627603755072e-01 1.9283516290119766e-02 1.9283516290119707e-02 0 1.0000000000000000e+00
18 0 0 3.4087979118728823e-01 2.1718720215772541e-01 1.9283516290118877e-02 1.9283516290118818e-02 0 5.0000000000000000e-01
19 0 0 3.3837363165777745e-01 2.2123138170563908e-01 1.9283516290119988e-02 1.9283516290119929e-02 0 5.0000000000000000e-01
20 0 0 3.3626133976293660e-01 2.2775904852574766e-01 1.9283516290119544e-02 1.9283516290119485e-02 0 5.0000000000000000e-01
21 0 0 3.3456354668107302e-01 2.3618108678940614e-01 1.9283516290119321e-02 1.9283516290119262e-02 0 5.0000000000000000e-01
22 0 0 3.3315945874271691e-01 2.4615145970462013e-01 1.9283516290119321e-02 1.9283516290119262e-02 0 5.0000000000000000e-01
23 0 0 3.3210349215302104e-01 2.5741258093406361e-01 1.9283516290119321e-02 1.9283516290119262e-02 0 5.0000000000000000e-01
24 0 0 3.3128632882797376e-01 2.6984363029710140e-01 1.9283516290119988e-02 1.9283516290119929e-02 0 5.0000000000000000e-01
25 0 0 3.3078686378241506e-01 2.8334476494026689e-01 1.9283516290119321e-02 1.9283516290119262e-02 0 5.0000000000000000e-01
26 0 0 3.3049922155386507e-01 2.9789721400743246e-01 1.9283516290119321e-02 1.9283516290119262e-02 0 5.0000000000000000e-01
27 0 0 3.1815094121973020e-01 3.1347434341896058e-01 1.9283516290119321e-02 1.9283516290119262e-02 0 2.5000000000000000e-01
28 0 0 3.1572333728144869e-01 5.0089602039920668e-02 1.9283516290119099e-02 1.9283516290119040e-02 0 1.0000000000000000e+00
29 0 0 3.1436317626739019e-01 5.3192029234577214e-02 1.9283516290118877e-02 1.9283516290118818e-02 0 1.0000000000000000e+00
30 0 0 3.1351229204077513e-01 9.4294199245450488e-02 1.9283516290120432e-02 1.9283516290120373e-02 0 5.0000000000000000e-01
31 0 0 3.1275069735510913e-01 9.7946806217106802e-02 1.9283516290119988e-02 1.9283516290119929e-02 0 5.0000000000000000e-01
32 0 0 3.1203916834453366e-01 1.0202787081729807e-01 1.9283516290119766e-02 1.9283516290119707e-02 0 5.0000000000000000e-01
33 0 0 3.1140920455698989e-01 1.0652038073241725e-01 1.9283516290119988e-02 1.9283516290119929e-02 0 5.0000000000000000e-01
34 0 0 3.1082025407930358e-01 1.1142735417530988e-01 1.9283516290119321e-02 1.9283516290119262e-02 0 5.0000000000000000e-01
35 0 0 3.1030895345664467e-01 1.1674427466858572e-01 1.9283516290119766e-02 1.9283516290119707e-02 0 5.0000000000000000e-01
36 0 0 3.0983279753376675e-01 1.2248333513906728e-01 1.9283516290119544e-02 1.9283516290119485e-02 0 5.0000000000000000e-01
37 0 0 3.0943359838716844e-01 1.2864819315581952e-01 1.9283516290119766e-02 1.9283516290119707e-02 0 5.0000000000000000e-01
38 0 0 3.0906639057744445e-01 1.3525731099928345e-01 1.9283516290119544e-02 1.9283516290119485e-02 0 5.0000000000000000e-01
39 0 0 3.0877838639564331e-01 1.4232054715729592e-01 1.9283516290119766e-02 1.9283516290119707e-02 0 5.0000000000000000e-01
40 0 0 3.0852173142248146e-01 1.4986136153352833e-01 1.9283516290119321e-02 1.9283516290119262e-02 0 5.0000000000000000e-01
41 0 0 3.0834941039232533e-01 1.5789491679918558e-01 1.9283516290118877e-02 1.9283516290118818e-02 0 5.0000000000000000e-01
42 0 0 3.0821030669537453e-01 1.6644916930202111e-01 1.9283516290119544e-02 1.9283516290119485e-02 0 5.0000000000000000e-01
43 0 0 3.0816368315728504e-01 1.7554422096248573e-01 1.9283516290119321e-02 1.9283516290119262e-02 0 5.0000000000000000e-01
44 0 0 3.0815483279724243e-01 1.8521242403521268e-01 1.9283516290119099e-02 1.9283516290119040e-02 0 5.0000000000000000e-01
45 0 0 3.0341167033258759e-01 1.9547875513166921e-01 1.9283516290118877e-02 1.9283516290118818e-02 0 2.5000000000000000e-01
46 0 0 3.0255093794411164e-01 3.3987381828078214e-02 1.9283516290118877e-02 1.9283516290118818e-02 0 1.0000000000000000e+00
47 0 0 3.0203237260050053e-01 3.7423346027726200e-02 1.9283516290118877e-02 1.9283516290118818e-02 0 1.0000000000000000e+00
48 0 0 3.0166944826686820e-01 6.3251970735571095e-02 1.9283516290119321e-02 1.9283516290119262e-02 0 5.0000000000000000e-01
49 0 0 3.0133089590100404e-01 6.5924830274826526e-02 1.9283516290119321e-02 1.9283516290119262e-02 0 5.0000000000000000e-01
50 0 0 3.0099720798164875e-01 6.8814882415517198e-02 1.9283516290119099e-02 1.9283516290119040e-02 0 5.0000000000000000e-01
51 0 0 3.0068875394931660e-01 7.1928753642613627e-02 1.9283516290119766e-02 1.9283516290119707e-02 0 5.0000000000000000e-01
52 0 0 3.0038444208646875e-01 7.5279564276411623e-02 1.9283516290119766e-02 1.9283516290119707e-02 0 5.0000000000000000e-01
53 0 0 3.0010688665332463e-01 7.8875594350552997e-02 1.9283516290119988e-02 1.9283516290119929e-02 0 5.0000000000000000e-01
54 0 0 2.9983325275720013e-01 8.2731823849994557e-02 1.9283516290119321e-02 1.9283516290119262e-02 0 5.0000000000000000e-01
55 0 0 2.9958862240798501e-01 8.6858333057666146e-02 1.9283516290119544e-02 1.9283516290119485e-02 0 5.0000000000000000e-01
56 0 0 2.9934825287766942e-01 9.1272145787056141e-02 1.9283516290118877e-02 1.9283516290118818e-02 0 5.0000000000000000e-01
57 0 0 2.9913995605552002e-01 9.5985318516361925e-02 1.9283516290119321e-02 1.9283516290119262e-02 0 5.0000000000000000e-01
58 0 0 2.9893691435709341e-01 1.0101713501672156e-01 1.9283516290119988e-02 1.9283516290119929e-02 0 5.0000000000000000e-01
59 0 0 2.9876997483481876e-01 1.0638183606687678e-01 1.9283516290119321e-02 1.9283516290119262e-02 0 5.0000000000000000e-01
60 0 0 2.9861007720081878e-01 1.1210121672868191e-01 1.9283516290119321e-02 1.9283516290119262e-02 0 5.0000000000000000e-01
61 0 0 2.9849145819764711e-01 1.1819194643154167e-01 1.9283516290119321e-02 1.9283516290119262e-02 0 5.0000000000000000e-01
62 0 0 2.9838264863070363e-01 1.2467862235767302e-01 1.9283516290119544e-02 1.9283516290119485e-02 0 5.0000000000000000e-01
63 0 0 2.9832168666532166e-01 1.3158062801226555e-01 1.9283516290119321e-02 1.9283516290119262e-02 0 5.0000000000000000e-01
64 0 0 2.9827453351200250e-01 1.3892569806275668e-01 1.9283516290118877e-02 1.9283516290118818e-02 0 5.0000000000000000e-01
65 0 0 2.9564200290425591e-01 1.4673626206029500e-01 1.9283516290119321e-02 1.9283516290119262e-02 0 2.5000000000000000e-01
66 0 0 2.9505365066016959e-01 3.4034291597550531e-02 1.9283516290119766e-02 1.9283516290119707e-02 0 1.0000000000000000e+00
67 0 0 2.9464529030742237e-01 3.6553575841958529e-02 1.9283516290119766e-02 1.9283516290119707e-02 0 1.0000000000000000e+00
68 0 0 2.9437262455479263e-01 5.3808283541309121e-02 1.9283516290119321e-02 1.9283516290119262e-02 0 5.0000000000000000e-01
69 0 0 2.9411090281384922e-01 5.5851163958920501e-02 1.9283516290119544e-02 1.9283516290119485e-02 0 5.0000000000000000e-01
70 0 0 2.9384791681376787e-01 5.8056573922069053e-02 1.9283516290120210e-02 1.9283516290120151e-02 0 5.0000000000000000e-01
71 0 0 2.9359701444906694e-01 6.0431774655636913e-02 1.9283516290119099e-02 1.9283516290119040e-02 0 5.0000000000000000e-01
72 0 0 2.9334487847713475e-01 6.2990483697262595e-02 1.9283516290118877e-02 1.9283516290118818e-02 0 5.0000000000000000e-01
73 0 0 2.9310629442845670e-01 6.5740876651804128e-02 1.9283516290119766e-02 1.9283516290119707e-02 0 5.0000000000000000e-01
74 0 0 2.9286674280658664e-01 6.8698188338959340e-02 1.9283516290119321e-02 1.9283516290119262e-02 0 5.0000000000000000e-01
75 0 0 2.9264261089285737e-01 7.1871663518497483e-02 1.9283516290120210e-02 1.9283516290120151e-02 0 5.0000000000000000e-01
76 0 0 2.9241807737388970e-01 7.5278247068112134e-02 1.9283516290119766e-02 1.9283516290119707e-02 0 5.0000000000000000e-01
77 0 0 2.9221131995991523e-01 7.8928444833489417e-02 1.9283516290118877e-02 1.9283516290118818e-02 0 5.0000000000000000e-01
78 0 0 2.9200511300262399e-01 8.2841141264158064e-02 1.9283516290119321e-02 1.9283516290119262e-02 0 5.0000000000000000e-01
79 0 0 2.9181964147727374e-01 8.7028333265144753e-02 1.9283516290119766e-02 1.9283516290119707e-02 0 5.0000000000000000e-01
80 0 0 2.9163617195925529e-01 9.1511112081130108e-02 1.9283516290119544e-02 1.9283516290119485e-02 0 5.0000000000000000e-01
